# =================================================================================================================================
* <<<< AISC Rolled Shape Library >>>>
* =================================================================================================================================
* Revision Log:
* 5/21/96 Original from WSDOT
*
         Mass    Area        Ixx       Depth    tw      bf
W24X103   153    19548     1.248e+09     623      14     229
W24X94    140    17871     1.123e+09     617      13     231
W24X84    125    15935   986.468e+06     612      12     231
W24X76    113    14452   874.086e+06     608      11     228
W24X68    101    12968   761.703e+06     603      11     229
W24X62     92    11742   645.158e+06     603      11     180
W24X55     82    10452   561.912e+06     599      10     177
W21X402   598    76129     5.078e+09     661      44     334
W21X364   542    69032     4.495e+09     647      40     333
W21X333   496    63161     3.999e+09     635      37     333
W21X300   446    56903     3.529e+09     623      34     326
W21X275   409    52129     3.171e+09     613      31     323
W21X248   369    46968     2.813e+09     603      28     323
W21X223   332    42193     2.476e+09     593      25     318
W21X201   299    38193     2.210e+09     585      23     323
W21X182   271    34581     1.968e+09     577      21     316
W21X166   247    31484     1.781e+09     571      19     318
W21X147   219    27871     1.510e+09     560      18     315
W21X132   196    25032     1.340e+09     554      17     315
W21X122   182    23161     1.232e+09     551      15     317
W21X111   165    21097     1.111e+09     546      14     316
W21X101   150    19226     1.007e+09     543      13     313
W21X93    138    17613   861.599e+06     549      15     213
W21X83    124    15677   761.703e+06     544      13     212
W21X73    109    13871   665.970e+06     539      12     211
W21X68    101    12903   616.022e+06     537      11     209
W21X62     92    11806   553.587e+06     533      10     209
W21X57     85    10774   486.990e+06     535      10     165
W21X50     74     9484   409.571e+06     529      10     166
W21X44     65     8387   350.883e+06     525       9     165
W18X311   463    59032     2.896e+09     567      39     306
W18X283   421    53677     2.563e+09     555      36     305
W18X258   384    48968     2.293e+09     545      33     304
W18X234   348    44387     2.039e+09     535      29     300
W18X211   314    40064     1.802e+09     525      27     291
W18X192   286    36387     1.610e+09     517      24     293
W18X175   260    33097     1.435e+09     509      23     291
W18X158   235    29871     1.273e+09     501      21     285
W18X143   213    27161     1.144e+09     495      19     282
W18X130   193    24645     1.023e+09     489      17     280
W18X119   177    22645   911.546e+06     482      17     285
W18X106   158    20064   795.002e+06     476      15     287
W18X97    144    18387   728.405e+06     472      14     283
W18X86    128    16323   636.834e+06     467      12     282
W18X76    113    14387   553.587e+06     463      11     280
W18X71    106    13419   486.990e+06     469      13     193
W18X65     97    12323   445.367e+06     466      11     194
W18X60     89    11355   409.571e+06     463      11     191
W18X55     82    10452   370.446e+06     460      10     192
W18X50     74     9484   332.985e+06     457       9     191
W18X46     68     8710   296.356e+06     459       9     154
W18X40     60     7613   254.733e+06     455       8     152
W18X35     52     6645   212.278e+06     450       8     153
W16X100   149    18968   620.184e+06     431      15     265
W16X89    132    16903   541.100e+06     425      13     262
W16X77    115    14581   462.016e+06     420      12     263
W16X67    100    12710   397.084e+06     415      10     260
W16X57     85    10839   315.503e+06     417      11     182
W16X50     74     9484   274.296e+06     413      10     179
W16X45     67     8581   243.911e+06     410       9     178
W16X40     60     7613   215.607e+06     407       8     177
W16X36     54     6839   186.471e+06     403       7     177
W16X31     46     5884   156.086e+06     403       7     141
W16X26     39     4955   125.285e+06     399       6     140
W14X233   347    44193     1.252e+09     407      27     402
W14X211   314    40000     1.107e+09     399      25     404
W14X193   287    36645   998.955e+06     393      23     402
W14X176   262    33419   890.735e+06     387      21     399
W14X159   237    30129   790.839e+06     380      19     393
W14X145   216    27548   711.755e+06     375      17     393
W14X132   196    25032   636.834e+06     372      16     372
W14X120   179    22774   574.399e+06     368      15     372
W14X109   162    20645   516.127e+06     364      13     371
W14X99    147    18774   462.016e+06     360      12     369
W14X90    134    17097   415.815e+06     356      11     368
W14X82    122    15548   367.116e+06     363      13     256
W14X74    110    14064   331.320e+06     360      11     255
W14X68    101    12903   300.935e+06     357      11     256
W14X61     91    11548   266.388e+06     353      10     252
W14X53     79    10064   225.181e+06     354       9     205
W14X48     71     9097   201.872e+06     350       9     203
W14X43     64     8129   178.147e+06     347       8     202
W14X38     57     7226   160.249e+06     358       8     173
W14X34     51     6452   141.518e+06     355       7     171
W14X30     45     5710   121.123e+06     352       7     170
W14X26     39     4961   101.976e+06     353       6     128
W14X22     33     4187    82.830e+06     349       6     128
W12X136   202    25742   516.127e+06     341      20     318
W12X120   179    22774   445.367e+06     333      18     314
W12X106   158    20129   388.343e+06     327      15     312
W12X96    143    18194   346.720e+06     323      14     311
W12X87    129    16516   308.011e+06     318      13     309
W12X79    118    14968   275.545e+06     314      12     306
W12X72    107    13613   248.490e+06     311      11     306
W12X65     97    12323   221.851e+06     308      10     304
W12X58     86    10968   197.709e+06     310       9     254
W12X53     79    10064   176.898e+06     306       9     254
W12X50     74     9484   163.995e+06     310       9     205
W12X45     67     8516   145.681e+06     306       9     204
W12X40     60     7613   129.031e+06     303       7     204
W12X35     52     6645   118.626e+06     318       8     166
W12X30     45     5671    99.063e+06     313       7     165
W12X26     39     4935    84.911e+06     310       6     164
W12X22     33     4181    64.932e+06     313       7     101
W12X19     28     3594    54.110e+06     309       6     101
W12X16     24     3039    42.871e+06     305       6     101
W12X14     21     2684    36.878e+06     303       5     101
W10X112   167    21226   298.021e+06     289      19     267
W10X100   149    18968   259.312e+06     282      17     262
W10X88    131    16710   222.267e+06     275      15     262
W10X77    115    14581   189.385e+06     269      13     261
W10X68    101    12903   163.995e+06     264      12     258
W10X60     89    11355   141.934e+06     260      11     256
W10X54     80    10194   126.118e+06     256       9     256
W10X49     73     9290   113.214e+06     253       9     253
W10X45     67     8581   103.225e+06     257       9     205
W10X39     58     7419    86.992e+06     252       8     202
W10X33     49     6265    70.759e+06     247       7     201
W10X30     45     5703    70.759e+06     266       8     148
W10X26     39     4910    59.937e+06     262       7     148
W10X22     33     4187    49.115e+06     258       6     146
W10X19     28     3626    40.083e+06     260       6     102
W10X17     25     3219    34.089e+06     257       6     102
W10X15     22     2845    28.678e+06     254       6     101
W10X12     18     2284    22.393e+06     251       5     100
W8X67     100    12710   113.214e+06     229      14     209
W8X58      86    11032    94.900e+06     222      13     210
W8X48      71     9097    76.586e+06     216      10     205
W8X40      60     7548    60.769e+06     210       9     205
W8X35      52     6645    52.861e+06     206       8     204
W8X31      46     5890    45.785e+06     203       7     203
W8X28      42     5323    40.790e+06     205       7     165
W8X24      36     4568    34.463e+06     201       6     165
W8X21      31     3974    31.342e+06     210       6     134
W8X18      27     3394    25.764e+06     207       6     134
W8X15      22     2865    19.979e+06     206       6     102
W8X13      19     2477    16.482e+06     203       6     101
W8X10      15     1910    12.819e+06     200       4     100
W6X25      37     4735    22.226e+06     162       8     155
W6X20      30     3787    17.231e+06     157       7     152
W6X15      22     2858    12.112e+06     152       6     152
W6X16      24     3058    13.361e+06     160       7     103
W6X12      18     2290     9.198e+06     153       6     101
W6X9       13     1729     6.826e+06     150       4     100
W5X19      28     3574    10.905e+06     131       7     127
W5X16      24     3019     8.865e+06     127       6     126
W4X13      19     2471     4.703e+06     106       7     103
